manufacturer_id,manufacturer_name,country,founded_year,headquarters,created_at
1,Tata Motors,India,1945,Mumbai,2026-08-14 11:46:14
2,Mahindra,India,1945,Mumbai,2026-08-14 11:46:14
3,Maruti Suzuki,India,1981,New Delhi,2026-08-14 11:46:14
4,Hyundai,South Korea,1967,Seoul,2026-08-14 11:46:14
5,Toyota,Japan,1937,Toyota City,2026-08-14 11:46:14
6,Honda,Japan,1948,Tokyo,2026-08-14 11:46:14
7,Kia,South Korea,1944,Seoul,2026-08-14 11:46:14
8,Volkswagen,Germany,1937,Wolfsburg,2026-08-14 11:46:14
9,BMW,Germany,1916,Munich,2026-08-14 11:46:14
10,Mercedes-Benz,Germany,1926,Stuttgart,2026-08-14 11:46:14
11,Audi,Germany,1909,Ingolstadt,2026-08-14 11:46:14
12,Ford,USA,1903,Dearborn,2026-08-14 11:46:14
13,Tesla,USA,2003,Austin,2026-08-14 11:46:14
14,Nissan,Japan,1933,Yokohama,2026-08-14 11:46:14
15,Renault,France,1899,Boulogne-Billancourt,2026-08-14 11:46:14
16,Skoda,Czech Republic,1895,Mlada Boleslav,2026-08-14 11:46:14
17,MG Motor,UK,1924,London,2026-08-14 11:46:14
18,Jeep,USA,1941,Auburn Hills,2026-08-14 11:46:14
19,Volvo,Sweden,1927,Gothenburg,2026-08-14 11:46:14
20,Jaguar,UK,1935,Whitley,2026-08-14 11:46:14
