payment_id,vehicle_id,customer_id,payment_date,payment_method,amount,payment_status,transaction_reference,created_at
1,15023,4678,2021-06-01,Debit Card,524025.95,COMPLETED,TXN-189278607,2026-08-14 11:46:23
2,14767,9363,2020-02-11,Debit Card,596395.83,COMPLETED,TXN-418360093,2026-08-14 11:46:23
3,19541,3786,2020-09-15,Bank Transfer,474392.55,COMPLETED,TXN-575837724,2026-08-14 11:46:23
4,238,88,2026-03-22,UPI,831060.48,FAILED,TXN-389617455,2026-08-14 11:46:23
5,17251,1378,2021-08-16,Credit Card,231946.7,COMPLETED,TXN-241763075,2026-08-14 11:46:23
6,9501,8405,2025-05-09,UPI,232922.44,COMPLETED,TXN-313024375,2026-08-14 11:46:23
7,8751,6129,2021-02-03,Debit Card,478680.97,COMPLETED,TXN-507336181,2026-08-14 11:46:23
8,15184,1480,2021-09-27,UPI,1099109.45,FAILED,TXN-370499721,2026-08-14 11:46:23
9,1778,4304,2023-09-08,Debit Card,544803.36,COMPLETED,TXN-174771568,2026-08-14 11:46:23
10,6488,5413,2023-08-27,UPI,133969.47,COMPLETED,TXN-651615091,2026-08-14 11:46:23
11,12268,8351,2025-06-12,UPI,790825.07,FAILED,TXN-730598189,2026-08-14 11:46:23
12,3835,2353,2025-04-01,UPI,1286355.21,COMPLETED,TXN-352048255,2026-08-14 11:46:23
13,4234,7870,2020-01-03,Bank Transfer,1046939.22,PENDING,TXN-840345631,2026-08-14 11:46:23
14,5279,2716,2022-02-01,Bank Transfer,410825.98,COMPLETED,TXN-948985063,2026-08-14 11:46:23
15,15142,9567,2025-11-22,Loan,1238867.71,COMPLETED,TXN-841211758,2026-08-14 11:46:23
16,16802,2743,2025-04-16,Loan,316334.54,COMPLETED,TXN-793380661,2026-08-14 11:46:23
17,16836,5497,2025-01-09,Debit Card,383935.87,COMPLETED,TXN-298075800,2026-08-14 11:46:23
18,12166,8449,2021-09-08,Loan,1545273.79,PENDING,TXN-673869913,2026-08-14 11:46:23
19,721,4272,2026-03-30,Bank Transfer,1264767.79,COMPLETED,TXN-612349327,2026-08-14 11:46:23
20,1091,1858,2025-01-22,Bank Transfer,1420169.32,COMPLETED,TXN-154067630,2026-08-14 11:46:23
21,5522,5603,2021-10-27,UPI,1087583.6,COMPLETED,TXN-845341406,2026-08-14 11:46:23
22,13471,7397,2025-10-29,UPI,372687.08,COMPLETED,TXN-369460826,2026-08-14 11:46:23
23,14342,7399,2023-11-10,Loan,1440321.05,COMPLETED,TXN-674852757,2026-08-14 11:46:23
24,6024,7942,2026-01-11,UPI,1090005.58,COMPLETED,TXN-611332823,2026-08-14 11:46:23
25,19035,3036,2024-02-27,UPI,1144838.34,COMPLETED,TXN-486776243,2026-08-14 11:46:23
26,11849,7789,2023-01-15,Bank Transfer,732865.39,COMPLETED,TXN-241619780,2026-08-14 11:46:23
27,5810,3575,2020-06-20,UPI,345768.29,PENDING,TXN-881803481,2026-08-14 11:46:23
28,10087,2980,2021-04-08,UPI,925623.73,COMPLETED,TXN-738692435,2026-08-14 11:46:23
29,19598,1961,2024-05-14,Credit Card,1787299.5,COMPLETED,TXN-753475299,2026-08-14 11:46:23
30,13663,4432,2024-05-22,Debit Card,1156259.98,COMPLETED,TXN-403222009,2026-08-14 11:46:23
31,10254,8637,2022-01-12,Credit Card,1551035.8,FAILED,TXN-534115163,2026-08-14 11:46:23
32,15378,4983,2024-07-15,Loan,279356.07,COMPLETED,TXN-408553350,2026-08-14 11:46:23
33,7413,3141,2025-10-21,Credit Card,619862.63,COMPLETED,TXN-599283371,2026-08-14 11:46:23
34,6272,5645,2025-12-09,Loan,603254.49,PENDING,TXN-263132674,2026-08-14 11:46:23
35,9369,5002,2022-05-20,Bank Transfer,1317336.35,PENDING,TXN-473113262,2026-08-14 11:46:23
36,8609,1494,2025-03-01,Bank Transfer,1234462.9,COMPLETED,TXN-496285200,2026-08-14 11:46:23
37,15071,3181,2021-06-15,Loan,1845882.82,COMPLETED,TXN-614493830,2026-08-14 11:46:23
38,10008,9618,2023-02-01,Bank Transfer,225226.62,PENDING,TXN-371046153,2026-08-14 11:46:23
39,12368,1087,2021-02-08,Bank Transfer,254200.49,COMPLETED,TXN-305933024,2026-08-14 11:46:23
40,4178,9051,2021-11-10,Bank Transfer,1392473.17,COMPLETED,TXN-823119264,2026-08-14 11:46:23
41,225,6922,2025-04-23,Debit Card,1617931.15,COMPLETED,TXN-669525829,2026-08-14 11:46:23
42,15657,5025,2025-05-19,Loan,753440.72,FAILED,TXN-373533124,2026-08-14 11:46:23
43,6660,9359,2024-02-21,Debit Card,302123.95,COMPLETED,TXN-708434591,2026-08-14 11:46:23
44,6948,8298,2022-07-13,UPI,907949.79,COMPLETED,TXN-367301985,2026-08-14 11:46:23
45,6223,1119,2020-04-27,Debit Card,264152.2,COMPLETED,TXN-468077068,2026-08-14 11:46:23
46,890,4124,2023-02-26,UPI,438161.61,FAILED,TXN-225343761,2026-08-14 11:46:23
47,8233,7308,2021-01-08,Debit Card,860799.89,COMPLETED,TXN-261366239,2026-08-14 11:46:23
48,13929,3482,2026-02-04,Debit Card,734238.46,PENDING,TXN-832528376,2026-08-14 11:46:23
49,6383,4735,2023-08-13,UPI,1688452.23,FAILED,TXN-408450792,2026-08-14 11:46:23
50,10212,4591,2025-02-15,Credit Card,827265.81,PENDING,TXN-293646904,2026-08-14 11:46:23
51,4442,5900,2023-11-12,Loan,465267.36,FAILED,TXN-445208048,2026-08-14 11:46:23
52,12954,4441,2020-12-19,Credit Card,169275.8,PENDING,TXN-590217514,2026-08-14 11:46:23
53,10150,2468,2026-03-18,UPI,1540652.76,COMPLETED,TXN-151440560,2026-08-14 11:46:23
54,7614,9939,2023-12-06,Credit Card,1593998.92,FAILED,TXN-350259866,2026-08-14 11:46:23
55,3202,394,2026-03-23,Loan,1407823.84,COMPLETED,TXN-535590384,2026-08-14 11:46:23
56,3915,4059,2026-03-07,UPI,122610.34,COMPLETED,TXN-330362594,2026-08-14 11:46:23
57,8622,3664,2022-11-13,Debit Card,455678.45,COMPLETED,TXN-450788232,2026-08-14 11:46:23
58,16582,9447,2024-04-21,Debit Card,324000.69,COMPLETED,TXN-202322418,2026-08-14 11:46:23
59,2506,8720,2020-04-10,Bank Transfer,1178143.8,COMPLETED,TXN-404426520,2026-08-14 11:46:23
60,15997,6031,2023-02-28,UPI,849425.11,COMPLETED,TXN-844127480,2026-08-14 11:46:23
61,15166,6922,2026-04-13,UPI,416444.03,COMPLETED,TXN-114348980,2026-08-14 11:46:23
62,19890,8921,2023-09-04,Loan,253416.04,FAILED,TXN-914331769,2026-08-14 11:46:23
63,4639,5407,2023-12-14,Bank Transfer,248905.3,FAILED,TXN-577336572,2026-08-14 11:46:23
64,8737,3051,2020-02-10,Loan,247202.34,COMPLETED,TXN-497755541,2026-08-14 11:46:23
65,18276,65,2020-09-28,Loan,1210301.59,PENDING,TXN-743993372,2026-08-14 11:46:23
66,18149,7676,2023-06-13,Credit Card,1572303.69,COMPLETED,TXN-631351155,2026-08-14 11:46:23
67,9731,386,2024-09-02,Loan,1864396.86,COMPLETED,TXN-218086834,2026-08-14 11:46:23
68,19043,3423,2025-09-13,Credit Card,533395.3,PENDING,TXN-840057005,2026-08-14 11:46:23
69,17834,2316,2021-12-01,UPI,1406719.09,COMPLETED,TXN-944280300,2026-08-14 11:46:23
70,19557,5574,2020-04-03,Loan,744697.08,FAILED,TXN-784027276,2026-08-14 11:46:23
71,19289,8064,2021-01-20,Loan,395395.38,FAILED,TXN-454040376,2026-08-14 11:46:23
72,10443,7641,2024-01-30,Bank Transfer,879398.95,COMPLETED,TXN-640774885,2026-08-14 11:46:23
73,17660,8710,2022-07-31,Credit Card,787864.67,PENDING,TXN-796808723,2026-08-14 11:46:23
74,10701,2269,2021-05-03,Debit Card,166547.33,COMPLETED,TXN-879389122,2026-08-14 11:46:23
75,14240,7908,2026-03-30,UPI,96313.93,COMPLETED,TXN-999222565,2026-08-14 11:46:23
76,17239,228,2023-09-19,UPI,500927.28,COMPLETED,TXN-374315945,2026-08-14 11:46:23
77,6980,7997,2022-12-27,UPI,248088.39,COMPLETED,TXN-576280010,2026-08-14 11:46:23
78,13686,7091,2026-06-20,UPI,168827.5,COMPLETED,TXN-203648925,2026-08-14 11:46:23
79,16576,594,2025-12-29,Credit Card,785100.33,PENDING,TXN-598985414,2026-08-14 11:46:23
80,11779,9413,2022-01-27,Credit Card,1230582.98,FAILED,TXN-802299884,2026-08-14 11:46:23
81,1508,812,2023-12-20,Bank Transfer,1124430.66,COMPLETED,TXN-366910113,2026-08-14 11:46:23
82,4525,9974,2025-04-04,Bank Transfer,1049005.43,COMPLETED,TXN-600130374,2026-08-14 11:46:23
83,10641,3227,2024-02-01,Debit Card,596049.7,COMPLETED,TXN-488298551,2026-08-14 11:46:23
84,4488,3715,2022-08-04,Debit Card,495023.45,COMPLETED,TXN-172234377,2026-08-14 11:46:23
85,3696,1967,2020-10-16,Debit Card,235253.74,FAILED,TXN-921749488,2026-08-14 11:46:23
86,2157,7540,2024-03-20,Loan,829417.15,COMPLETED,TXN-916255141,2026-08-14 11:46:23
87,14480,5546,2020-11-29,UPI,418522.99,COMPLETED,TXN-796564991,2026-08-14 11:46:23
88,12924,1699,2021-12-18,Bank Transfer,1054464.2,COMPLETED,TXN-387750831,2026-08-14 11:46:23
89,3379,5585,2024-10-29,Debit Card,2057527.66,FAILED,TXN-727078539,2026-08-14 11:46:23
90,3528,5967,2023-03-10,Bank Transfer,908663.93,COMPLETED,TXN-331708940,2026-08-14 11:46:23
91,19274,6975,2020-08-05,Debit Card,769309.96,COMPLETED,TXN-841684183,2026-08-14 11:46:23
92,18576,2904,2025-02-20,Bank Transfer,1481522.32,COMPLETED,TXN-354570875,2026-08-14 11:46:23
93,1272,5574,2024-07-16,UPI,265729.83,COMPLETED,TXN-436332657,2026-08-14 11:46:23
94,10419,7449,2023-05-02,Debit Card,553831.74,FAILED,TXN-509312537,2026-08-14 11:46:23
95,681,980,2023-04-14,Debit Card,1452720.81,COMPLETED,TXN-366276882,2026-08-14 11:46:23
96,18447,348,2025-07-02,Bank Transfer,1078847.26,PENDING,TXN-100563675,2026-08-14 11:46:23
97,488,3671,2023-04-02,Debit Card,1272182.0,COMPLETED,TXN-522827208,2026-08-14 11:46:23
98,1224,3550,2020-03-02,Debit Card,1087933.92,COMPLETED,TXN-378221444,2026-08-14 11:46:23
99,587,8114,2021-11-30,Bank Transfer,1497929.87,COMPLETED,TXN-658261963,2026-08-14 11:46:23
100,12446,5866,2024-07-18,Credit Card,297342.18,PENDING,TXN-690805934,2026-08-14 11:46:23
101,1703,6657,2026-08-05,Debit Card,836949.08,COMPLETED,TXN-888212152,2026-08-14 11:46:23
102,5314,5442,2024-07-09,Debit Card,272564.63,FAILED,TXN-771224863,2026-08-14 11:46:23
103,2614,3841,2026-07-28,UPI,417334.08,COMPLETED,TXN-364263823,2026-08-14 11:46:23
104,13669,7789,2023-10-19,UPI,290040.83,PENDING,TXN-943401614,2026-08-14 11:46:23
105,17961,9074,2020-05-17,Loan,1381191.29,COMPLETED,TXN-834550423,2026-08-14 11:46:23
106,2077,9326,2026-07-17,Loan,1214563.32,COMPLETED,TXN-703378862,2026-08-14 11:46:23
107,5897,9035,2021-05-13,Debit Card,432240.17,COMPLETED,TXN-407607334,2026-08-14 11:46:23
108,10854,1268,2025-03-07,Debit Card,616368.74,PENDING,TXN-924166744,2026-08-14 11:46:23
109,16048,6206,2021-04-17,Loan,528921.07,PENDING,TXN-580559518,2026-08-14 11:46:23
110,17256,4408,2025-03-08,UPI,640054.86,COMPLETED,TXN-116965426,2026-08-14 11:46:23
111,19356,1298,2023-01-31,Bank Transfer,855632.48,COMPLETED,TXN-742920243,2026-08-14 11:46:23
112,6286,6796,2025-03-11,Debit Card,137246.44,COMPLETED,TXN-103450380,2026-08-14 11:46:23
113,17671,167,2024-02-14,UPI,662925.31,PENDING,TXN-372380398,2026-08-14 11:46:23
114,2305,6392,2021-10-07,Debit Card,584063.97,COMPLETED,TXN-663063193,2026-08-14 11:46:23
115,14818,5293,2024-04-12,Debit Card,317909.12,COMPLETED,TXN-379909498,2026-08-14 11:46:23
116,9596,188,2023-11-21,UPI,526335.34,PENDING,TXN-642336404,2026-08-14 11:46:23
117,10816,8975,2025-11-09,Credit Card,562544.79,FAILED,TXN-624387056,2026-08-14 11:46:23
118,9338,710,2024-05-10,UPI,1417198.39,COMPLETED,TXN-139206083,2026-08-14 11:46:23
119,10300,6276,2023-12-16,Credit Card,505145.38,PENDING,TXN-775075057,2026-08-14 11:46:23
120,16412,4497,2025-01-24,Bank Transfer,492607.82,COMPLETED,TXN-988297006,2026-08-14 11:46:23
121,786,4312,2021-10-19,UPI,444784.5,COMPLETED,TXN-484254760,2026-08-14 11:46:23
122,6535,2234,2020-06-25,UPI,659121.45,COMPLETED,TXN-762970407,2026-08-14 11:46:23
123,12462,2866,2025-05-20,Bank Transfer,1391900.86,PENDING,TXN-768325657,2026-08-14 11:46:23
124,12252,7381,2020-04-14,Credit Card,1671546.95,COMPLETED,TXN-359611223,2026-08-14 11:46:23
125,12475,2775,2023-05-05,Bank Transfer,931412.35,FAILED,TXN-711740522,2026-08-14 11:46:23
126,1999,9052,2024-08-11,Credit Card,425167.64,PENDING,TXN-660140791,2026-08-14 11:46:23
127,15405,9507,2020-08-03,Bank Transfer,241276.12,COMPLETED,TXN-991919070,2026-08-14 11:46:23
128,5137,6021,2021-06-11,Debit Card,332507.78,PENDING,TXN-107284169,2026-08-14 11:46:23
129,14863,2666,2023-10-17,Bank Transfer,650408.08,FAILED,TXN-739387834,2026-08-14 11:46:23
