vehicle_id,manufacturer_id,dealer_id,customer_id,vin,model_name,vehicle_type,fuel_type,transmission,manufacturing_year,color,price,sale_date,vehicle_status,created_at
1,2,42,5324.0,ZMQVTXLMWMLPNMVTP,Model 3,Sedan,Electric,Automatic,2021,White,1584816.0,2026-05-20,SOLD,2026-08-14 11:46:17
2,10,21,8965.0,PSRVMMJKRPIDLRQEN,Nexon EV,SUV,Electric,Automatic,2024,Silver,1276374.0,2024-04-11,SOLD,2026-08-14 11:46:17
3,6,16,,WCYPAAFDTJLWQDCGC,Fortuner,SUV,Diesel,Automatic,2020,Red,2246698.0,,AVAILABLE,2026-08-14 11:46:17
4,13,19,,OVGIRJUPDEALFBYGR,XUV700,SUV,Diesel,Automatic,2024,Grey,4617507.0,,AVAILABLE,2026-08-14 11:46:17
5,10,44,,BOPXSDGRRVYJPUZDX,Model 3,Sedan,Electric,Automatic,2023,Blue,1306241.0,,AVAILABLE,2026-08-14 11:46:17
6,7,32,7806.0,LUQBQKGICVXONOADB,City,Sedan,Petrol,Automatic,2019,Red,4048973.0,2023-01-04,SOLD,2026-08-14 11:46:17
7,12,40,6980.0,SXVBJRLMDRSBMHZYI,Scorpio,SUV,Diesel,Manual,2026,Silver,839219.0,2021-01-15,SOLD,2026-08-14 11:46:17
8,15,44,2541.0,DJWNBHIGDVKJKLBDG,Creta,SUV,Petrol,Automatic,2026,White,4923134.0,2025-07-21,SOLD,2026-08-14 11:46:17
9,10,30,,UFGXBMVOEUMPTMBLC,Camry,Sedan,Hybrid,Automatic,2022,Black,4506494.0,,AVAILABLE,2026-08-14 11:46:17
10,5,44,8571.0,OBKBXXDTWQZVUMCRP,Verna,Sedan,Petrol,Automatic,2018,Blue,2978679.0,2024-10-17,SOLD,2026-08-14 11:46:17
11,3,3,,THUUCLZHPWNBHWQRP,Seltos,SUV,Petrol,Automatic,2024,White,4064432.0,,AVAILABLE,2026-08-14 11:46:17
12,15,43,5824.0,POBIGJNMQYJVBFLCE,Virtus,Sedan,Petrol,Automatic,2026,White,1185932.0,2022-11-09,SOLD,2026-08-14 11:46:17
13,4,48,,PCKFFNXEOXOBDQKZP,City,Sedan,Petrol,Automatic,2024,White,2028472.0,,AVAILABLE,2026-08-14 11:46:17
14,3,27,7455.0,PQFUSSLLSIYQCJEGZ,Verna,Sedan,Petrol,Automatic,2023,Black,2723605.0,2025-01-16,SOLD,2026-08-14 11:46:17
15,7,12,9897.0,LQLIXDYSTHWIFFNBT,Punch,SUV,Petrol,Manual,2024,Blue,1391966.0,2022-11-28,SOLD,2026-08-14 11:46:17
16,1,1,,TUEGPRJZJLTSMVMQV,Fortuner,SUV,Diesel,Automatic,2025,Red,1940620.0,,AVAILABLE,2026-08-14 11:46:17
17,13,43,4962.0,GWKHTZLKYBMVDZINC,Model 3,Sedan,Electric,Automatic,2022,White,3813476.0,2024-01-17,SOLD,2026-08-14 11:46:17
18,5,9,,FPNOZRQZHCIHOHBRO,Nexon,SUV,Petrol,Manual,2021,White,633255.0,,AVAILABLE,2026-08-14 11:46:17
19,7,31,7140.0,VSUYSRTEYIZRCAUPR,XUV700,SUV,Diesel,Automatic,2019,Silver,2101506.0,2026-01-15,SOLD,2026-08-14 11:46:17
20,15,10,1909.0,DSJQLLRBBYMRUCAMM,Civic,Sedan,Petrol,Automatic,2025,Red,1778610.0,2021-11-11,SOLD,2026-08-14 11:46:17
21,16,2,3299.0,FFSQSYCHDSRYGUSMG,City,Sedan,Petrol,Automatic,2018,Silver,3786097.0,2023-04-22,SOLD,2026-08-14 11:46:17
22,1,7,8122.0,UJQBNNVSWBPVOBDCP,Camry,Sedan,Hybrid,Automatic,2018,Red,2939193.0,2026-06-28,SOLD,2026-08-14 11:46:17
23,13,32,7994.0,POXQZUAZFEUXGQFCA,Seltos,SUV,Petrol,Automatic,2026,White,1009227.0,2022-08-07,SOLD,2026-08-14 11:46:17
24,14,37,4389.0,WYUNEQOJLRLOYIEHO,Swift,Hatchback,Petrol,Manual,2019,Red,4470646.0,2024-09-04,SOLD,2026-08-14 11:46:17
25,20,42,7148.0,ZWXJFFRCBUZPMSSIK,Baleno,Hatchback,Petrol,Automatic,2022,Grey,1853362.0,2020-03-26,SOLD,2026-08-14 11:46:17
26,7,31,8318.0,EBYHZUPIWQFGTLYNK,Baleno,Hatchback,Petrol,Automatic,2025,Black,3345021.0,2022-06-18,SOLD,2026-08-14 11:46:17
27,10,47,5903.0,KSATSRLKJJNJRBUOR,Fortuner,SUV,Diesel,Automatic,2021,Silver,1859170.0,2025-04-18,SOLD,2026-08-14 11:46:17
28,3,43,,UJVFZBDUGWUASBJOW,Civic,Sedan,Petrol,Automatic,2020,Blue,2173394.0,,AVAILABLE,2026-08-14 11:46:17
29,16,7,8090.0,ZWOYQDUQROYPVIJRI,Camry,Sedan,Hybrid,Automatic,2021,Blue,2468964.0,2023-05-28,SOLD,2026-08-14 11:46:17
30,2,2,5850.0,DUQUGBGCJWXLRXZNF,Baleno,Hatchback,Petrol,Automatic,2026,White,1965613.0,2021-10-11,SOLD,2026-08-14 11:46:17
31,3,22,,EOQKUOVHDCQGVUICC,Camry,Sedan,Hybrid,Automatic,2019,Blue,2401615.0,,AVAILABLE,2026-08-14 11:46:17
32,8,32,5821.0,HAKPWDBSYUQYMWRGE,Venue,SUV,Petrol,Manual,2020,Grey,2743879.0,2020-07-10,SOLD,2026-08-14 11:46:17
33,17,39,7174.0,XPXMZZVAGPMOERUCE,Harrier,SUV,Diesel,Automatic,2019,Blue,1430555.0,2025-02-15,SOLD,2026-08-14 11:46:17
34,20,7,,ZYVDLJWYBTOOPSXXY,Sonet,SUV,Diesel,Manual,2020,Grey,1384252.0,,AVAILABLE,2026-08-14 11:46:17
35,4,14,,ILRBQDZWDWSFTUZDQ,Baleno,Hatchback,Petrol,Automatic,2025,Blue,2950505.0,,AVAILABLE,2026-08-14 11:46:17
36,16,47,,KOFGZFLYRFIXZHIBN,Harrier,SUV,Diesel,Automatic,2023,Black,3551246.0,,AVAILABLE,2026-08-14 11:46:17
37,4,13,108.0,NJRAFQUWRQJLDILXI,City,Sedan,Petrol,Automatic,2023,Silver,4473376.0,2022-10-01,SOLD,2026-08-14 11:46:17
38,17,11,,TNQPVJKUFUVCVIZKE,Punch,SUV,Petrol,Manual,2023,Grey,3981344.0,,AVAILABLE,2026-08-14 11:46:17
39,8,10,3739.0,BQZTQNWOEISTYCPYB,Seltos,SUV,Petrol,Automatic,2024,Red,4097226.0,2021-07-19,SOLD,2026-08-14 11:46:17
40,15,34,7252.0,DBTATYJICFISCUPYF,Baleno,Hatchback,Petrol,Automatic,2026,White,583455.0,2021-08-19,SOLD,2026-08-14 11:46:17
41,3,22,2693.0,GGALTEIRZYMKEDPQL,Swift,Hatchback,Petrol,Manual,2024,White,1015633.0,2024-11-12,SOLD,2026-08-14 11:46:17
42,5,37,8517.0,PJLGVSRLDHDHOKUWE,Nexon EV,SUV,Electric,Automatic,2024,Grey,4017387.0,2023-04-26,SOLD,2026-08-14 11:46:17
43,18,20,130.0,GKEUTTETGEFQTTQRJ,Swift,Hatchback,Petrol,Manual,2020,Grey,4927437.0,2023-02-19,SOLD,2026-08-14 11:46:17
44,13,29,7245.0,MPCLXRNOGBWMFXADS,Thar,SUV,Diesel,Manual,2021,Silver,3893239.0,2023-11-15,SOLD,2026-08-14 11:46:17
45,3,3,2065.0,WGYSVUQUJMWUARADW,Sonet,SUV,Diesel,Manual,2021,White,2881759.0,2025-11-01,SOLD,2026-08-14 11:46:17
46,17,36,2622.0,NVFOPCUSDKBVXMVGG,Verna,Sedan,Petrol,Automatic,2026,Blue,733968.0,2020-04-05,SOLD,2026-08-14 11:46:17
47,9,16,8279.0,FNQNRXYLZGZSKYBHJ,Verna,Sedan,Petrol,Automatic,2023,Silver,1002861.0,2021-03-28,SOLD,2026-08-14 11:46:17
48,17,23,,CTOLIQMFIILXZRRHL,Harrier,SUV,Diesel,Automatic,2025,Silver,1546477.0,,AVAILABLE,2026-08-14 11:46:17
49,19,48,3869.0,JWUXPKKWWTFSILCSS,Nexon,SUV,Petrol,Manual,2021,Silver,4973549.0,2026-07-10,SOLD,2026-08-14 11:46:17
50,10,19,6188.0,LDZCWJDCPLHKXJMZZ,Virtus,Sedan,Petrol,Automatic,2019,Silver,2577298.0,2025-10-29,SOLD,2026-08-14 11:46:17
51,17,38,5920.0,QNLOUORPNMWIPNOBL,Thar,SUV,Diesel,Manual,2020,Grey,1321981.0,2025-02-03,SOLD,2026-08-14 11:46:17
52,14,27,,QJXJAGRHVVZNQNIEY,Punch,SUV,Petrol,Manual,2020,Red,4064208.0,,AVAILABLE,2026-08-14 11:46:17
53,7,29,8623.0,MYZOKTGOWSHEHHXKX,Punch,SUV,Petrol,Manual,2024,Silver,4853226.0,2024-07-07,SOLD,2026-08-14 11:46:17
54,19,32,8021.0,GGBUFMGWFDLYPVIUV,Camry,Sedan,Hybrid,Automatic,2020,Blue,1866024.0,2024-09-03,SOLD,2026-08-14 11:46:17
55,5,32,,CXMAOMLBUPJRFHMPP,City,Sedan,Petrol,Automatic,2026,White,4804911.0,,AVAILABLE,2026-08-14 11:46:17
56,7,30,,VSNXIXFPBPWJBTBQB,Civic,Sedan,Petrol,Automatic,2026,Silver,1815666.0,,AVAILABLE,2026-08-14 11:46:17
